4,0.22,0.07,0.00,0.21,0.05
64,0.18,0.06,0.00,0.20,0.04
125,0.18,0.07,0.00,0.21,0.06
186,0.17,0.06,0.00,0.21,0.09
247,0.18,0.06,0.00,0.21,0.07
308,0.18,0.07,0.01,0.21,0.08
368,0.17,0.06,0.00,0.20,0.09
430,0.18,0.07,0.00,0.21,0.09
490,0.18,0.07,0.01,0.21,0.11
551,0.18,0.06,0.01,0.14,0.10
612,0.18,0.07,0.02,0.21,0.11
673,0.18,0.07,0.01,0.29,0.07
734,0.17,0.06,0.01,0.21,0.07
794,0.18,0.07,0.01,0.32,0.05
856,0.18,0.07,0.01,0.23,0.09
916,0.18,0.06,0.00,0.24,0.10
978,0.18,0.07,0.00,0.11,0.06
1038,0.18,0.06,0.00,0.15,0.09
1100,0.17,0.06,0.00,0.23,0.08
1160,0.18,0.07,0.00,0.22,0.06
1221,0.17,0.06,0.01,0.17,0.04
1283,0.18,0.06,0.01,0.11,0.04
1343,0.18,0.02,0.01,0.17,0.08
1405,0.18,0.00,0.01,0.14,0.13
1465,0.18,0.00,0.00,0.23,0.06
1527,0.18,0.07,0.03,0.14,0.15
1587,0.18,0.04,0.01,0.10,0.13
1648,0.18,0.03,0.00,0.17,0.12
1709,0.18,0.04,0.00,0.22,0.08
1769,0.18,0.04,0.00,0.17,0.10
1831,0.18,0.04,0.00,0.16,0.16
1891,0.19,0.02,0.00,0.10,0.19
1953,0.18,0.02,0.00,0.12,0.15
2013,0.18,0.05,0.00,0.08,0.13
2074,0.18,0.06,0.00,0.08,0.07
2135,0.18,0.06,0.01,0.12,0.12
2196,0.18,0.07,0.04,0.12,0.10
2258,0.18,0.07,0.05,0.17,0.06
2318,0.18,0.05,0.03,0.04,0.06
2380,0.18,0.04,0.04,0.15,0.12
2440,0.18,0.04,0.02,0.11,0.16
2501,0.18,0.04,0.01,0.11,0.13
2563,0.18,0.04,0.01,0.09,0.13
2623,0.18,0.04,0.00,0.04,0.10
2685,0.17,0.01,0.00,0.12,0.08
2745,0.18,0.02,0.01,0.11,0.06
2807,0.18,0.03,0.01,0.15,0.05
2867,0.18,0.04,0.01,0.15,0.14
2928,0.18,0.03,0.01,0.06,0.12
2989,0.17,0.02,0.02,0.07,0.06
3050,0.19,0.00,0.01,0.12,0.07
3111,0.17,0.00,0.01,0.14,0.09
3171,0.24,0.00,0.02,0.06,0.04
3233,0.22,0.00,0.05,0.06,0.15
3293,0.17,0.02,0.04,0.02,0.16
3354,0.22,0.01,0.00,0.13,0.21
3415,0.14,0.00,0.03,0.05,0.11
3476,0.21,0.02,0.05,0.04,0.16
3538,0.20,0.01,0.04,0.06,0.18
3598,0.16,0.00,0.00,0.04,0.20
3660,0.17,0.00,0.00,0.11,0.18
3720,0.18,0.00,0.06,0.04,0.17
3781,0.16,0.00,0.04,0.08,0.18
3842,0.16,0.00,0.06,0.05,0.21
3903,0.18,0.00,0.02,0.07,0.15
3964,0.16,0.00,0.03,0.04,0.13
4025,0.27,0.04,0.00,0.10,0.22
4086,0.16,0.00,0.00,0.03,0.22
4147,0.22,0.00,0.02,0.04,0.26
4207,0.21,0.00,0.03,0.04,0.27
4269,0.26,0.01,0.03,0.02,0.25
4329,0.23,0.01,0.04,0.07,0.22
4391,0.26,0.01,0.00,0.04,0.19
4451,0.20,0.00,0.00,0.02,0.17
4513,0.20,0.00,0.03,0.08,0.17
4573,0.23,0.01,0.00,0.02,0.16
4634,0.14,0.00,0.03,0.13,0.15
4695,0.21,0.00,0.04,0.02,0.18
4756,0.21,0.07,0.00,0.02,0.17
4817,0.21,0.08,0.04,0.07,0.19
4878,0.26,0.08,0.01,0.07,0.14
4939,0.20,0.05,0.06,0.04,0.16
5000,0.21,0.04,0.01,0.07,0.16
5060,0.23,0.04,0.04,0.13,0.19
5122,0.21,0.04,0.00,0.10,0.27
5183,0.21,0.00,0.03,0.08,0.26
5244,0.21,0.06,0.02,0.01,0.15
5305,0.19,0.04,0.01,0.01,0.23
5366,0.23,0.07,0.03,0.09,0.11
5427,0.21,0.07,0.05,0.02,0.18
5487,0.21,0.00,0.08,0.01,0.16
5549,0.21,0.00,0.05,0.12,0.27
5609,0.22,0.00,0.08,0.10,0.23
5671,0.20,0.00,0.05,0.03,0.19
5731,0.21,0.00,0.08,0.02,0.28
5793,0.19,0.00,0.02,0.14,0.25
5853,0.21,0.00,0.02,0.16,0.35
5914,0.23,0.00,0.09,0.16,0.31
5975,0.21,0.00,0.09,0.17,0.27
6036,0.23,0.00,0.05,0.03,0.27
6097,0.22,0.01,0.07,0.12,0.25
6158,0.22,0.00,0.03,0.10,0.20
6219,0.22,0.00,0.08,0.16,0.23
6280,0.23,0.01,0.06,0.19,0.20
6340,0.20,0.00,0.01,0.27,0.29
6402,0.22,0.00,0.00,0.25,0.38
6462,0.19,0.00,0.12,0.34,0.15
6524,0.24,0.00,0.03,0.34,0.25
6585,0.25,0.00,0.04,0.36,0.42
6646,0.25,0.01,0.03,0.57,0.29
6707,0.24,0.00,0.04,0.54,0.26
6767,0.26,0.01,0.04,0.54,0.22
6829,0.15,0.00,0.03,0.56,0.27
6889,0.16,0.00,0.06,0.56,0.31
6951,0.16,0.00,0.06,0.49,0.20
7011,0.15,0.00,0.01,0.39,0.25
7073,0.15,0.00,0.04,0.58,0.24
7133,0.13,0.00,0.06,0.68,0.30
7194,0.14,0.00,0.04,0.51,0.32
7255,0.16,0.00,0.08,0.36,0.31
7316,0.16,0.00,0.07,0.41,0.26
7377,0.17,0.00,0.02,0.63,0.35
7438,0.17,0.06,0.08,0.49,0.36
7499,0.22,0.02,0.09,0.66,0.34
7560,0.23,0.06,0.06,0.59,0.26
7620,0.22,0.07,0.05,0.53,0.26
7682,0.21,0.08,0.10,0.45,0.30
7743,0.22,0.05,0.05,0.30,0.27
7804,0.19,0.04,0.08,0.59,0.22
7865,0.19,0.08,0.09,0.42,0.24
7926,0.23,0.06,0.09,0.22,0.23
7987,0.29,0.04,0.13,0.40,0.23
8047,0.28,0.08,0.09,0.28,0.22
8109,0.27,0.01,0.09,0.42,0.22
8169,0.33,0.06,0.10,0.18,0.13
8231,0.27,0.01,0.07,0.36,0.27
8291,0.23,0.00,0.08,0.39,0.23
8353,0.23,0.00,0.09,0.48,0.24
8413,0.24,0.01,0.11,0.42,0.16
8474,0.24,0.00,0.06,0.41,0.14
8535,0.24,0.01,0.07,0.38,0.18
8596,0.25,0.01,0.10,0.55,0.17
8657,0.25,0.00,0.05,0.52,0.13
8718,0.26,0.01,0.08,0.56,0.17
8779,0.24,0.00,0.11,0.61,0.18
8840,0.25,0.00,0.08,0.64,0.15
8900,0.26,0.01,0.08,0.83,0.16
